replica,max_active,mean_active,p95_active,time_points_above_theta_pct
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
r0,11.0,8.209825,10.0,33.055787
